CpGs,chrom,logFC,p-value,direction,Nearest_Probe,Distance,CpG_site
cg13014558,chr11,-0.006027015,0.000502713,Hypomethyla,,,cg13014558
cg26947572,chr2,-0.011773382,0.000723061,Hypomethyla,,,cg26947572
cg05633391,chr2,0.049345144,0.001081502,Hypermethyl,,,cg05633391
cg01054110,chr12,0.006083908,0.001133249,Hypermethyl,,,cg01054110
cg12902497,chr1,-0.032731945,0.00123438,Hypomethyla,,,cg12902497
cg11428482,chr22,0.012785044,0.001567767,Hypermethyl,,,cg11428482
cg03719642,chr20,-0.011474772,0.001604717,Hypomethyla,,,cg03719642
cg17492041,chr2,-0.021029728,0.001670149,Hypomethyla,,,cg17492041
cg13782781,chr14,-0.013317908,0.001704921,Hypomethyla,,,cg13782781
cg02759110,chr4,-0.068234355,0.00171519,Hypomethyla,,,cg02759110
cg24615831,chr11,-0.025780623,0.001750548,Hypomethyla,,,cg24615831
cg23658014,chr3,-0.012694971,0.001753909,Hypomethyla,,,cg23658014
cg19092620,chr1,0.014967446,0.002134518,Hypermethyl,,,cg19092620
cg05409597,chr2,0.012745549,0.002148628,Hypermethyl,,,cg05409597
cg04805612,chr6,0.012154179,0.002210876,Hypermethyl,,,cg04805612
cg05375728,chr1,-0.014399729,0.002365951,Hypomethyla,,,cg05375728
cg01048962,chr19,0.014181365,0.002464832,Hypermethyl,,,cg01048962
cg07423198,chr12,-0.013995139,0.002564317,Hypomethyla,,,cg07423198
cg18755581,chr1,-0.01844864,0.002911751,Hypomethyla,,,cg18755581
cg05949800,chr10,-0.014854634,0.003018964,Hypomethyla,,,cg05949800
cg21438101,chr18,-0.011544205,0.003023136,Hypomethyla,,,cg21438101
cg20286203,chr11,0.050861381,0.00307193,Hypermethyl,,,cg20286203
cg00729699,chr8,-0.010491715,0.003107308,Hypomethyla,,,cg00729699
cg11118681,chr3,0.016183705,0.003211426,Hypermethyl,cg11118681,108,cg11118681
cg14076660,chr17,0.011040093,0.00329622,Hypermethyl,,,cg14076660
cg06399427,chr2,-0.010582923,0.00370851,Hypomethyla,,,cg06399427
cg18816107,chr1,-0.01156723,0.003732795,Hypomethyla,,,cg18816107
cg03994318,chr13,0.038278833,0.003942733,Hypermethyl,,,cg03994318
cg00519299,chr11,-0.006928582,0.004170929,Hypomethyla,,,cg00519299
cg21937867,chr17,-0.008298296,0.004469888,Hypomethyla,,,cg21937867
cg26634707,chr19,-0.010624642,0.004557711,Hypomethyla,,,cg26634707
cg25237365,chr4,0.024803039,0.004919217,Hypermethyl,,,cg25237365
cg16444062,chr16,0.007437308,0.005043417,Hypermethyl,,,cg16444062
cg09793594,chr5,-0.015122179,0.005117788,Hypomethyla,,,cg09793594
cg10832495,chr1,-0.012426635,0.005443153,Hypomethyla,,,cg10832495
cg14363636,chr11,-0.018404851,0.005641743,Hypomethyla,,,cg14363636
cg04564920,chr3,-0.019919374,0.005956245,Hypomethyla,,,cg04564920
cg23246885,chr2,0.028496466,0.006118328,Hypermethyl,,,cg23246885
cg22254072,chr15,-0.012260478,0.006446273,Hypomethyla,,,cg22254072
cg13422881,chr2,-0.013937181,0.006682081,Hypomethyla,,,cg13422881
cg04880732,chr14,-0.0241225,0.007219993,Hypomethyla,,,cg04880732
cg01693090,chr17,-0.0096459,0.007435013,Hypomethyla,,,cg01693090
cg18661868,chr15,0.00803547,0.007481275,Hypermethyl,,,cg18661868
cg09984392,chr8,-0.026013765,0.007748178,Hypomethyla,cg09984392,650,cg09984392
cg17714147,chr13,0.010293425,0.008116275,Hypermethyl,,,cg17714147
cg01730274,chr2,-0.014031678,0.008136315,Hypomethyla,,,cg01730274
cg18417953,chr18,-0.016580547,0.008156908,Hypomethyla,,,cg18417953
cg26757305,chr4,-0.011909872,0.008562451,Hypomethyla,,,cg26757305
cg15651918,chr7,-0.016925483,0.00865712,Hypomethyla,,,cg15651918
cg25565138,chr6,-0.011160632,0.008705566,Hypomethyla,,,cg25565138
cg05657462,chr22,-0.013494537,0.009068685,Hypomethyla,,,cg05657462
cg27478603,chr17,0.008676205,0.009129801,Hypermethyl,,,cg27478603
cg10203523,chr4,-0.011977144,0.009565537,Hypomethyla,cg10203523,28,cg10203523
